experiment_id,display_name,evidence_type,inference_method,metric_id,metric_name,value_json,unit,scientific_role,qualification,source_path,source_key,source_sha256
sparse_cfm_baseline,Sparse conditional Flow baseline,reference prior sample,frozen conditional Flow; alpha-zero paired baseline,sparse_global_accuracy,Global voxel accuracy,0.5972100545962652,fraction,primary,,project/geodata-3d-conditional/experiments/stage1_probability/reports/phase1b_v4_12pair/summary.json,metrics.global_voxel_accuracy.baseline.mean,dd25face4cf7f29d0d810b4506afb7fa0a873dd36dc8ba5a0f698b4edaaf2336
sparse_cfm_baseline,Sparse conditional Flow baseline,reference prior sample,frozen conditional Flow; alpha-zero paired baseline,sparse_global_miou,Global dynamic-union mIoU,0.18044054011503854,fraction,primary,,project/geodata-3d-conditional/experiments/stage1_probability/reports/phase1b_v4_12pair/summary.json,metrics.global_mean_iou.baseline.mean,dd25face4cf7f29d0d810b4506afb7fa0a873dd36dc8ba5a0f698b4edaaf2336
sparse_cfm_baseline,Sparse conditional Flow baseline,reference prior sample,frozen conditional Flow; alpha-zero paired baseline,sparse_label9_iou,Label-9 IoU,0.03144480434529132,fraction,primary,,project/geodata-3d-conditional/experiments/stage1_probability/reports/phase1b_v4_12pair/summary.json,metrics.target_iou.baseline.mean,dd25face4cf7f29d0d810b4506afb7fa0a873dd36dc8ba5a0f698b4edaaf2336
sparse_cfm_baseline,Sparse conditional Flow baseline,reference prior sample,frozen conditional Flow; alpha-zero paired baseline,sparse_condition_violations,Condition violations,0,voxels,primary,,project/geodata-3d-conditional/experiments/stage1_probability/reports/phase1b_v4_12pair/summary.json,gate.entries.zero_condition_violations.value,dd25face4cf7f29d0d810b4506afb7fa0a873dd36dc8ba5a0f698b4edaaf2336
phase1_oracle_probability,Phase 1 oracle 3-D probability guidance,truth-derived controllability upper bound,gradient guidance through frozen Flow integration,p1_global_accuracy,Global voxel accuracy,"{""baseline"": 0.5972100545962652, ""guided"": 0.6431517054637274}",fraction,primary,,project/geodata-3d-conditional/experiments/stage1_probability/reports/phase1b_v4_12pair/summary.json,"metrics.global_voxel_accuracy.{baseline,guided}.mean",dd25face4cf7f29d0d810b4506afb7fa0a873dd36dc8ba5a0f698b4edaaf2336
phase1_oracle_probability,Phase 1 oracle 3-D probability guidance,truth-derived controllability upper bound,gradient guidance through frozen Flow integration,p1_global_miou,Global dynamic-union mIoU,"{""baseline"": 0.18044054011503854, ""guided"": 0.21781629572312036}",fraction,primary,,project/geodata-3d-conditional/experiments/stage1_probability/reports/phase1b_v4_12pair/summary.json,"metrics.global_mean_iou.{baseline,guided}.mean",dd25face4cf7f29d0d810b4506afb7fa0a873dd36dc8ba5a0f698b4edaaf2336
phase1_oracle_probability,Phase 1 oracle 3-D probability guidance,truth-derived controllability upper bound,gradient guidance through frozen Flow integration,p1_label9_iou,Label-9 IoU,"{""baseline"": 0.03144480434529132, ""guided"": 0.8098611425842716}",fraction,primary,,project/geodata-3d-conditional/experiments/stage1_probability/reports/phase1b_v4_12pair/summary.json,"metrics.target_iou.{baseline,guided}.mean",dd25face4cf7f29d0d810b4506afb7fa0a873dd36dc8ba5a0f698b4edaaf2336
phase1_oracle_probability,Phase 1 oracle 3-D probability guidance,truth-derived controllability upper bound,gradient guidance through frozen Flow integration,p1_label9_precision,Label-9 precision,"{""baseline"": 0.07878691276852436, ""guided"": 0.8273961957231815}",fraction,primary,,project/geodata-3d-conditional/experiments/stage1_probability/reports/phase1b_v4_12pair/summary.json,"metrics.target_precision.{baseline,guided}.mean",dd25face4cf7f29d0d810b4506afb7fa0a873dd36dc8ba5a0f698b4edaaf2336
phase1_oracle_probability,Phase 1 oracle 3-D probability guidance,truth-derived controllability upper bound,gradient guidance through frozen Flow integration,p1_label9_recall,Label-9 recall,"{""baseline"": 0.05196253345227476, ""guided"": 0.9747249479631281}",fraction,primary,,project/geodata-3d-conditional/experiments/stage1_probability/reports/phase1b_v4_12pair/summary.json,"metrics.target_recall.{baseline,guided}.mean",dd25face4cf7f29d0d810b4506afb7fa0a873dd36dc8ba5a0f698b4edaaf2336
phase1_oracle_probability,Phase 1 oracle 3-D probability guidance,truth-derived controllability upper bound,gradient guidance through frozen Flow integration,p1_centroid_distance,Label-9 centroid distance,"{""baseline"": 16.951820214589436, ""guided"": 3.3798132836818695}",voxels,primary,,project/geodata-3d-conditional/experiments/stage1_probability/reports/phase1b_v4_12pair/summary.json,"metrics.target_centroid_distance.{baseline,guided}.mean",dd25face4cf7f29d0d810b4506afb7fa0a873dd36dc8ba5a0f698b4edaaf2336
